name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,lat,lon
Hokkaido,北海道,370,185,171,14,43.06417,141.34694
Aomori,青森県,22,17,5,0,40.82444,140.74
Iwate,岩手県,0,0,0,0,39.70361,141.1525
Miyagi,宮城県,79,71,8,0,38.26889,140.87194
Akita,秋田県,16,11,5,0,39.71861,140.1025
Yamagata,山形県,58,58,0,0,38.24056,140.36333
Fukushima,福島県,52,49,3,0,37.75,140.46778
Ibaraki,茨城県,131,115,11,5,36.34139,140.44667
Tochigi,栃木県,44,36,8,0,36.56583,139.88361
Gunma,群馬県,114,105,5,4,36.39111,139.06083
Saitama,埼玉県,575,534,32,9,35.85694,139.64889
Chiba,千葉県,609,549,54,6,35.60472,140.12333
Tokyo,東京都,2807,2729,59,19,35.68944,139.69167
Kanagawa,神奈川県,710,639,54,17,35.44778,139.6425
Niigata,新潟県,53,24,29,0,37.90222,139.02361
Toyama,富山県,69,67,2,0,36.69528,137.21139
Ishikawa,石川県,160,151,5,4,36.59444,136.62556
Fukui,福井県,104,94,8,2,36.06528,136.22194
Yamanashi,山梨県,46,37,9,0,35.66389,138.56833
Nagano,長野県,47,43,4,0,36.65139,138.18111
Gifu,岐阜県,136,118,16,2,35.39111,136.72222
Shizuoka,静岡県,51,46,5,0,34.97694,138.38306
Aichi,愛知県,374,284,66,24,35.18028,136.90667
Mie,三重県,32,20,11,1,34.73028,136.50861
Shiga,滋賀県,68,57,10,1,35.00444,135.86833
Kyoto,京都府,235,179,53,3,35.02139,135.75556
Osaka,大阪府,1076,885,182,9,34.68639,135.52
Hyogo,兵庫県,480,400,63,17,34.69139,135.18306
Nara,奈良県,56,43,12,1,34.68528,135.83278
Wakayama,和歌山県,39,19,19,1,34.22611,135.1675
Tottori,鳥取県,1,1,0,0,35.50361,134.23833
Shimane,島根県,15,15,0,0,35.47222,133.05056
Okayama,岡山県,18,17,1,0,34.66167,133.935
Hiroshima,広島県,124,116,8,0,34.39639,132.45944
Yamaguchi,山口県,30,25,5,0,34.18583,131.47139
Tokushima,徳島県,3,0,3,0,34.06583,134.55944
Kagawa,香川県,24,23,1,0,34.34028,134.04333
Ehime,愛媛県,41,35,4,2,33.84167,132.76611
Kochi,高知県,63,44,18,1,33.55972,133.53111
Fukuoka,福岡県,476,401,66,9,33.60639,130.41806
Saga,佐賀県,16,15,1,0,33.24944,130.29889
Nagasaki,長崎県,17,15,2,0,32.74472,129.87361
Kumamoto,熊本県,35,28,6,1,32.78972,130.74167
Oita,大分県,54,36,17,1,33.23806,131.6125
Miyazaki,宮崎県,17,13,4,0,31.91111,131.42389
Kagoshima,鹿児島県,6,5,1,0,31.56028,130.55806
Okinawa,沖縄県,101,94,6,1,26.2125,127.68111